"name";"RA_ICRS";"DE_ICRS";"dist";"e_dist";"age";"e_age";"FeH";"e_FeH";"Av";"e_Av";"Nc";"alpha_high_ind";"alpha_low_ind";"Mc_ind";"offset_ind";"Mc_left_ind";"Mc_right_ind";"alpha_high_ind_error";"alpha_low_ind_error";"Mc_ind_error";"offset_ind_error";"alpha_high_prim";"alpha_low_prim";"Mc_prim";"offset_prim";"Mc_left_prim";"Mc_right_prim";"alpha_high_prim_error";"alpha_low_prim_error";"Mc_prim_error";"offset_prim_error";"alpha_high_sec";"alpha_low_sec";"Mc_sec";"offset_sec";"Mc_left_sec";"Mc_right_sec";"alpha_high_sec_error";"alpha_low_sec_error";"Mc_sec_error";"offset_sec_error";"alpha_high_prim_sec";"alpha_low_prim_sec";"Mc_prim_sec";"offset_prim_sec";"Mc_left_prim_sec";"Mc_right_prim_sec";"alpha_high_prim_sec_error";"alpha_low_prim_sec_error";"Mc_prim_sec_error";"offset_prim_sec_error";"alpha_high_ind_prim";"alpha_low_ind_prim";"Mc_ind_prim";"offset_ind_prim";"Mc_left_ind_prim";"Mc_right_ind_prim";"alpha_high_ind_prim_error";"alpha_low_ind_prim_error";"Mc_ind_prim_error";"offset_ind_prim_error";"vis_mass_total";"vis_mass_total_error";"mass_total";"mass_total_error";"bin_frac";"average_ratio";"str_frac";"segregation_ratio";"segregation_ratio_std"
"Berkeley_31";"104.4004";"8.2868";"6487";"459";"9.581";"0.105";"-0.363";"0.038";"0.584";"0.07";"1576";"-0.5";"3.0";"0.1";"1.29";"7.0";"0.0";"101964940.82";"213407729.21";"348429291.09";"348429291.09";"-0.87";"2.94";"0.05";"1.35";"5.0";"3.0";"0.14";"14.45";"1.16";"7.23";"-1.19";"1.22";"-0.03";"1.42";"6.0";"2.0";"3074942.27";"104626778.66";"4754416.12";"0.75";"-0.26";"2.58";"0.09";"1.83";"15.0";"0.0";"50232607.48";"127420216.17";"134313768.96";"0.48";"-0.56";"3.0";"0.1";"1.59";"9.0";"0.0";"0.0";"0.15";"0.04";"0.0";"314.0";"2.0";"454.0";"45.400000000000006";"0.68";"0.77";"0.21";"0.73";"0.0"
"Ruprecht_63";"128.1793";"-48.3037";"3521";"192";"8.545";"0.222";"-0.125";"0.021";"1.756";"0.168";"1573";"-3.0";"0.0";"-0.05";"1.78";"0.0";"12.0";"0.0";"0.31";"0.05";"0.05";"-1.56";"0.0";"0.02";"1.58";"0.0";"9.0";"0.0";"0.25";"0.06";"0.0";"-2.82";"2.12";"0.05";"1.74";"8.0";"4.0";"0.05";"1.94";"0.32";"0.58";"-2.16";"3.0";"0.05";"1.83";"10.0";"9.0";"0.02";"0.38";"0.08";"0.43";"-2.54";"0.0";"-0.04";"1.94";"0.0";"13.0";"0.0";"0.15";"0.04";"0.0";"686.0";"2.0";"1753.0";"175.3";"0.42";"0.69";"0.2";"0.77";"0.0"
"NGC_6834";"298.0567";"29.3927";"3117";"89";"7.209";"0.055";"0.033";"0.056";"2.317";"0.017";"1505";"-1.5";"0.0";"0.02";"2.0";"0.0";"9.0";"0.0";"0.34";"0.13";"0.13";"-1.52";"0.0";"0.02";"2.07";"0.0";"13.0";"0.0";"0.21";"0.07";"0.0";"-1.56";"2.64";"0.0";"1.8";"8.0";"13.0";"0.03";"0.26";"0.08";"0.49";"-1.47";"3.0";"0.05";"2.1";"10.0";"17.0";"0.02";"0.2";"0.08";"0.41";"-1.51";"0.0";"0.02";"2.23";"0.0";"14.0";"0.0";"0.15";"0.04";"0.0";"1820.0";"2.0";"2879.0";"287.90000000000003";"0.63";"0.73";"0.2";"";"0.0"
"Berkeley_17";"80.1277";"30.5771";"3017";"88";"9.835";"0.147";"-0.193";"0.059";"1.985";"0.109";"1606";"-1.05";"2.81";"0.06";"1.51";"8.0";"0.0";"62177856.32";"169762429.58";"233624896.87";"233624896.87";"-0.46";"0.01";"-0.06";"1.62";"1.0";"9.0";"0.2";"0.82";"0.03";"0.0";"-2.7";"1.93";"-0.11";"1.51";"11.0";"3.0";"0.06";"3.48";"0.23";"0.63";"-0.72";"2.76";"0.03";"2.17";"22.0";"0.0";"33303805.54";"73267774.05";"114903656.01";"0.25";"-0.51";"0.24";"0.07";"1.76";"11.0";"0.0";"0.0";"0.15";"0.04";"0.0";"810.0";"2.0";"2198.0";"219.8";"0.77";"0.76";"0.17";"0.86";"0.0"
"SAI_108";"144.7413";"-52.9479";"3094";"192";"7.201";"0.082";"-0.034";"0.037";"2.185";"0.126";"1566";"-3.0";"0.0";"0.02";"1.72";"0.0";"18.0";"0.0";"0.59";"0.1";"0.1";"-2.93";"0.0";"0.02";"1.91";"0.0";"13.0";"0.0";"0.35";"0.07";"0.0";"-2.92";"2.08";"0.05";"1.77";"8.0";"9.0";"0.03";"0.55";"0.13";"0.38";"-2.73";"3.0";"0.06";"1.9";"15.0";"16.0";"0.02";"0.44";"0.11";"0.43";"-3.0";"0.0";"0.02";"2.03";"0.0";"19.0";"0.0";"0.15";"0.04";"0.0";"674.0";"4.0";"1974.0";"197.4";"0.52";"0.81";"0.2";"";"0.0"
"UBC_438";"94.8234";"15.2994";"3715";"209";"7.033";"0.044";"-0.28";"0.048";"2.813";"0.078";"1614";"-2.45";"0.0";"0.02";"2.13";"0.0";"19.0";"0.0";"0.33";"0.1";"0.1";"-1.94";"0.0";"0.02";"2.11";"0.0";"12.0";"0.0";"0.17";"0.06";"0.0";"-2.18";"1.89";"0.1";"1.76";"12.0";"18.0";"0.03";"0.31";"0.1";"0.41";"-2.01";"2.81";"0.1";"2.12";"11.0";"18.0";"0.02";"0.23";"0.09";"0.41";"-2.16";"0.0";"0.02";"2.31";"0.0";"18.0";"0.0";"0.15";"0.04";"0.0";"1367.0";"4.0";"3182.0";"318.20000000000005";"0.5";"0.75";"0.2";"";"0.0"
"NGC_6192";"250.0801";"-43.3605";"1553";"30";"7.677";"0.234";"0.14";"0.05";"2.222";"0.059";"1579";"-1.96";"0.0";"0.06";"1.85";"3.0";"12.0";"0.05";"0.23";"0.07";"0.07";"-1.67";"1.05";"0.1";"1.97";"3.0";"10.0";"0.03";"0.18";"0.06";"0.63";"-2.02";"1.3";"0.02";"1.82";"7.0";"8.0";"0.03";"0.32";"0.08";"0.27";"-1.86";"2.12";"0.04";"2.12";"9.0";"12.0";"0.01";"0.15";"0.05";"0.18";"-1.92";"0.63";"0.09";"2.14";"4.0";"14.0";"0.0";"0.15";"0.04";"0.0";"1526.0";"2.0";"1937.0";"193.7";"0.51";"0.68";"0.19";"0.94";"0.0"
"FSR_0591";"36.9321";"58.7651";"2354";"125";"7.239";"0.093";"-0.115";"0.059";"2.201";"0.079";"1606";"-1.92";"0.0";"0.02";"1.39";"0.0";"8.0";"0.0";"0.56";"0.14";"0.14";"-2.39";"0.0";"0.02";"1.37";"0.0";"7.0";"0.0";"0.54";"0.12";"0.0";"-1.76";"1.22";"-0.02";"0.91";"5.0";"6.0";"0.12";"0.64";"0.11";"1.64";"-1.99";"3.0";"-0.0";"1.36";"5.0";"7.0";"0.03";"0.47";"0.11";"0.92";"-2.08";"0.0";"-0.06";"1.57";"0.0";"10.0";"0.0";"0.15";"0.04";"0.0";"202.0";"3.0";"390.0";"39.0";"0.44";"0.82";"0.17";"0.94";"0.0"
"NGC_2301";"102.9472";"0.4688";"835";"6";"8.306";"0.053";"-0.031";"0.018";"0.251";"0.012";"1626";"-2.59";"0.04";"-0.1";"1.59";"4.0";"12.0";"0.04";"0.38";"0.05";"0.05";"-1.47";"0.0";"0.1";"1.5";"4.0";"4.0";"0.23";"1.26";"0.34";"0.92";"-3.0";"0.0";"-0.01";"1.36";"4.0";"4.0";"0.08";"1.42";"0.16";"0.58";"-1.72";"0.24";"0.01";"1.66";"4.0";"5.0";"0.1";"0.56";"0.11";"0.55";"-2.14";"0.0";"-0.1";"1.71";"4.0";"12.0";"0.0";"0.15";"0.04";"0.0";"639.0";"2.0";"930.0";"93.0";"0.21";"0.71";"0.22";"0.84";"0.0"
"UBC_456";"110.2217";"-20.7776";"4336";"47";"7.661";"0.36";"-0.079";"0.067";"1.758";"0.107";"1611";"-2.71";"0.0";"0.02";"1.73";"0.0";"18.0";"0.0";"0.35";"0.08";"0.08";"-2.92";"0.0";"0.02";"2.08";"0.0";"17.0";"0.0";"0.23";"0.05";"0.0";"-2.44";"1.95";"0.07";"1.95";"9.0";"10.0";"0.04";"0.71";"0.16";"0.52";"-2.88";"2.8";"0.09";"2.22";"15.0";"18.0";"0.02";"0.35";"0.09";"0.34";"-2.87";"0.0";"0.02";"2.15";"0.0";"21.0";"0.0";"0.15";"0.04";"0.0";"1090.0";"3.0";"2718.0";"271.8";"0.66";"0.81";"0.19";"";"0.0"
