clusters_bons;clusters_ruins
King_12;Kronberger_52
Ruprecht_8;FSR_1315
Gulliver_37;Juchert_13
NGC_2401;UBC_337
Melotte_111;UBC_509
NGC_2384;King_26
Czernik_27;BH_217
NGC_2567;UBC_535
King_17;UBC_550
NGC_5269;Ruprecht_23
FSR_0430;BH_202
NGC_2588;UBC_601
UBC_382;COIN-Gaia_6
NGC_2972;Pismis_18
FSR_1144;UPK_4
Gulliver_31;UBC_466
ASCC_10;ASCC_19
SAI_91;NGC_1980
UPK_614;UBC_627
Gulliver_20;UPK_545
COIN-Gaia_17;Trumpler_13
COIN-Gaia_26;LP_0313
NGC_5281;UBC_469
Alessi_17;NGC_1977
Berkeley_96;UBC_653
NGC_2479;FSR_0306
UBC_472;Berkeley_50
FSR_0537;UBC_510
Platais_8;Ruprecht_118
Collinder_185;NGC_6823
Teutsch_103;NGC_6735
NGC_2126;UBC_646
UBC_340;Gulliver_7
UPK_42;UPK_599
Dolidze_3;Ruprecht_138
Ruprecht_25;LP_0506
UBC_485;ASCC_6
COIN-Gaia_12;NGC_6318
UFMG_34;Teutsch_84
Pismis_4;Collinder_106
Ruprecht_16;NGC_6400
Ruprecht_71;Gulliver_23
UPK_53;NGC_2627
COIN-Gaia_27;UBC_578
Alessi_Teutsch_3;Alessi_5
COIN-Gaia_18;UBC_432
NGC_2169;Dolidze_32
COIN-Gaia_7;LP_1235
IC_4996;LP_321
ASCC_107;NGC_1193
ASCC_128;UBC_293
Berkeley_28;Collinder_271
Czernik_9;Trumpler_17
King_20;UBC_121
BH_19;Berkeley_12
UPK_46;UBC_488
RSG_1;Ruprecht_170
UBC_521;FSR_0154
UBC_179;UFMG_38
NGC_6520;NGC_6561
Ruprecht_4;NGC_6827
Berkeley_86;IC_5146
UPK_445;UBC_671
King_15;Teutsch_74
Berkeley_60;UBC_155
UPK_533;UBC_299
FSR_1252;NGC_6631
Gulliver_59;UBC_435
Basel_18;UBC_425
NGC_1758;LP_2198
NGC_5288;UBC_524
vdBergh_1;UFMG_1
UBC_177;Ruprecht_79
NGC_2866;UBC_473
UBC_378;NGC_2527
Gulliver_60;Kronberger_69
NGC_2533;UBC_633
Ruprecht_127;Haffner_14
UPK_40;Ruprecht_96
Czernik_5;UBC_410
NGC_6444;Czernik_37
Ruprecht_26;UBC_341
UBC_63;Berkeley_54
FSR_0761;LP_1199
FSR_1723;UBC_342
NGC_381;NGC_2420
NGC_2482;Dias_6
Platais_9;Collinder_350
Koposov_36;UFMG_55
NGC_2659;King_25
NGC_4463;UBC_657
ESO_130_08;LP_1641
Pismis_Moreno_1;UFMG_22
Haffner_26;SAI_116
IC_1590;NGC_3330
Ruprecht_61;NGC_7419
Berkeley_27;Melotte_25
Koposov_10;Haffner_10
Stock_24;RSG_7
Stock_14;SAI_109
Berkeley_1;UBC_515
Alessi_Teutsch_11;NGC_7380
Berkeley_11;Ruprecht_101
Collinder_74;Alessi_19
COIN-Gaia_22;Czernik_38
NGC_3228;LP_1200
NGC_6031;FSR_0123
Gulliver_2;UBC_149
ASCC_127;Berkeley_31
BH_23;NGC_6834
FSR_0985;SAI_108
Berkeley_69;UBC_438
NGC_5749;UBC_456
UPK_82;BH_211
Antalova_2;Mayer_1
Basel_11a;UBC_495
COIN-Gaia_20;NGC_6404
UBC_638;Berkeley_43
UBC_634;UBC_428
FSR_0496;UBC_548
LP_930;NGC_6416
LP_0866;NGC_6611
Ruprecht_93;BH_99
Stephenson_1;UBC_148
UBC_316;NGC_6451
LP_0676;UBC_345
UPK_28;UBC_468
IC_2581;Tombaugh_4
LP_2220;FSR_0336
Roslund_3;NGC_2243
Alessi_62;UBC_272
Berkeley_73;FSR_1521
UBC_643;UBC_258
Ruprecht_1;NGC_6664
Czernik_19;Roslund_2
NGC_2215;Collinder_132
ESO_368_11;Melotte_105
FSR_1342;LP_1281
Ruprecht_107;UBC_390
Gulliver_21;Trumpler_23
Ruprecht_48;UBC_322
ASCC_41;NGC_1893
UBC_641;UBC_248
FSR_1163;UBC_443
SAI_81;UPK_166
Stock_7;NGC_2204
NGC_2910;LP_1394
UPK_17;Ruprecht_112
NGC_136;King_11
NGC_6866;IC_1805
Kharchenko_1;LP_1175
UBC_361;Berkeley_85
FSR_0241;LP_0288
NGC_433;LP_2036
NGC_1883;Gulliver_9
Ruprecht_82;UBC_612
Stock_23;Ruprecht_94
NGC_1545;SAI_132
UBC_386;UPK_594
Ruprecht_105;Berkeley_32
UBC_232;
COIN-Gaia_25;
NGC_3033;
UPK_433;
FSR_1360;
Basel_8;
UBC_648;
Gulliver_24;
LP_2238;
NGC_6425;
NGC_7062;
Haffner_17;
LP_589;
Stock_1;
Teutsch_22;
NGC_146;
Gulliver_11;
UPK_93;
LP_2253;
NGC_2318;
vdBergh_80;
King_19;
Ruprecht_44;
ASCC_110;
UPK_467;
NGC_7296;
NGC_886;
Gulliver_47;
NGC_7788;
Pismis_15;
King_21;
NGC_7281;
Haffner_16;
FSR_0716;
UBC_500;
Gulliver_27;
Stock_10;
Berkeley_30;
Ruprecht_111;
UBC_475;
NGC_5593;
Haffner_23;
FSR_1180;
UPK_418;
UBC_194;
King_16;
UBC_300;
UBC_599;
UPK_613;
BH_55;
Collinder_421;
NGC_6268;
Melotte_72;
NGC_2428;
Juchert_20;
UPK_379;
Berkeley_6;
NGC_2183;
FSR_0441;
UPK_535;
Harvard_20;
ESO_130_13;
NGC_6997;
Alessi_37;
Berkeley_78;
Kronberger_4;
Czernik_31;
Haffner_8;
UPK_617;
Berkeley_23;
Berkeley_10;
NGC_6793;
SAI_94;
Harvard_10;
SAI_86;
IC_2391;
ASCC_113;
UBC_151;
UBC_442;
NGC_3255;
Ruprecht_58;
Berkeley_37;
Berkeley_71;
UBC_467;
Collinder_95;
Collinder_269;
Czernik_13;
Haffner_4;
NGC_2264;
UBC_118;
NGC_2453;
FSR_0904;
Collinder_307;
UBC_249;
NGC_5138;
Ruprecht_28;
IC_2602;
ASCC_30;
NGC_1857;
LP_658;
NGC_1502;
NGC_6830;
NGC_7092;
Haffner_9;
LP_1994;
NGC_5460;
NGC_6913;
NGC_7261;
Ruprecht_120;
FSR_1253;
NGC_752;
ESO_332_13;
Ruprecht_145;
Ruprecht_108;
Teutsch_126;
UBC_303;
Collinder_140;
UBC_233;
UBC_136;
UBC_636;
Collinder_268;
Berkeley_2;
NGC_2232;
Trumpler_2;
UBC_586;
UPK_24;
NGC_659;
Trumpler_30;
NGC_2432;
NGC_581;
NGC_1708;
NGC_1907;
Alessi_21;
UBC_436;
Trumpler_12;
UBC_319;
UBC_397;
NGC_2509;
BH_200;
Berkeley_7;
Teutsch_38;
COIN-Gaia_15;
NGC_436;
UBC_449;
Berkeley_35;
UBC_433;
Lynga_2;
NGC_4337;
UBC_237;
BH_85;
King_8;
IC_2948;
Berkeley_9;
NGC_2670;
ASCC_23;
UBC_499;
Teutsch_2;
UPK_436;
UPK_626;
UPK_296;
Pismis_5;
NGC_2354;
Haffner_22;
NGC_2671;
NGC_2849;
King_6;
UBC_133;
King_14;
King_4;
Teutsch_13;
Berkeley_33;
NGC_2286;
Berkeley_87;
UPK_155;
FSR_0735;
Roslund_7;
NGC_2192;
UFMG_58;
UPK_537;
Haffner_15;
Stock_5;
UPK_562;
UBC_417;
NGC_3105;
Pismis_12;
ASCC_21;
NGC_103;
Skiff_J0619+18.5;
FSR_1402;
Czernik_32;
Stock_4;
Tombaugh_1;
UPK_265;
RSG_5;
Ruprecht_128;
UBC_462;
BH_90;
UBC_437;
NGC_2448;
NGC_6633;
LP_597;
NGC_2259;
Gulliver_1;
Alessi_3;
Dolidze_5;
LP_2094;
NGC_1605;
NGC_2414;
Ruprecht_42;
BH_56;
Ruprecht_60;
Skiff_J0507+30.8;
NGC_7128;
NGC_6991;
ASCC_105;
ASCC_77;
Bica_2;
FSR_0377;
Ruprecht_91;
NGC_1778;
Teutsch_132;
UPK_524;
Gulliver_26;
COIN-Gaia_13;
NGC_2587;
Gulliver_50;
NGC_2355;
NGC_2266;
FSR_0893;
ASCC_85;
UBC_245;
UBC_574;
UBC_395;
NGC_2311;
UPK_220;
Gulliver_44;
NGC_1582;
NGC_2425;
Ruprecht_119;
NGC_3590;
LP_2068;
Czernik_43;
NGC_2546;
LP_1809;
Ruprecht_34;
NGC_5715;
NGC_2547;
NGC_7039;
Ruprecht_54;
Trumpler_15;
UBC_607;
NGC_2451A;
Collinder_292;
NGC_6604;
NGC_7423;
FSR_0974;
UBC_36;
NGC_2818;
UPK_470;
Czernik_21;
NGC_1662;
LP_1614;
Berkeley_97;
IC_4665;
Koposov_12;
Collinder_394;
NGC_6811;
FSR_0236;
UPK_629;
UPK_640;
UBC_31;
Berkeley_13;
UBC_637;
Biurakan_2;
Loden_372;
NGC_5168;
NGC_7790;
ASCC_97;
Trumpler_3;
NGC_2571;
UPK_431;
NGC_5662;
FSR_0282;
NGC_5999;
FSR_0850;
NGC_6568;
NGC_6204;
UBC_162;
LP_0782;
Basel_17;
NGC_2669;
LP_866;
Roslund_5;
UBC_448;
Collinder_277;
Czernik_23;
IC_1369;
Teutsch_35;
Hogg_22;
NGC_1664;
NGC_2254;
Mamajek_4;
LP_1540;
NGC_7209;
Haffner_13;
Ruprecht_41;
COIN-Gaia_23;
NGC_3960;
UBC_626;
FSR_1361;
Roslund_6;
Ruprecht_18;
UBC_424;
IC_1442;
LP_198;
UBC_354;
UBC_429;
Alessi_6;
Berkeley_8;
UBC_450;
UBC_270;
UPK_567;
FSR_0342;
UBC_178;
UBC_251;
NGC_7762;
Alessi_8;
NGC_2489;
LP_0665;
ASCC_114;
UBC_384;
UBC_615;
ASCC_71;
NGC_2383;
Teutsch_12;
NGC_1513;
NGC_4439;
Berkeley_44;
BH_87;
